location,state,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours,
Catawba Indian Natio,South Carolina,US,pm25,2.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,34.91263,-80.87428,1.0,
Marion Mobile Monito,North Carolina,US,pm25,-4.0,2016-12-03 06:00:00+00:00,µg/m³,AirNow,35.68694,-81.995,1.0,
Sylva Mobile Monitor,North Carolina,US,pm25,4.0,2016-12-02 13:00:00+00:00,µg/m³,AirNow,35.36701,-83.22123,1.0,
Linda,Nevada,US,pm10,6.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,36.349377,-116.03197,1.0,
Manse,Nevada,US,pm10,6.0,2019-04-01 18:00:00+00:00,µg/m³,AirNow,36.212788,-115.994804,1.0,
Church,Nevada,US,pm10,3.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,36.159637,-115.99626,1.0,
Glen Oaks,Nevada,US,pm10,5.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,36.19347,-116.00758,1.0,
SLATER,Iowa,US,o3,0.019,2016-11-03 16:00:00+00:00,ppm,AirNow,41.8829,-93.6879,1.0,
Bend - Pump Station,Oregon,US,pm25,2.3,2019-04-01 20:00:00+00:00,µg/m³,AirNow,44.063915,-121.31255,1.0,
Leech Lake Nation: C,Minnesota,US,pm25,1.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,47.38443,-94.60166,1.0,
Cicero2,Illinois,US,pm25,9.3,2019-04-01 18:00:00+00:00,µg/m³,AirNow,41.86433,-87.748825,1.0,
Grand Portage,Minnesota,US,pm25,3.0,2019-04-01 15:00:00+00:00,µg/m³,AirNow,47.9721,-89.6908,1.0,
CTCLUSI Radar Hill-O,Oregon,US,pm25,3.2,2019-03-28 21:00:00+00:00,µg/m³,AirNow,43.381943,-124.263885,1.0,
NEWPORT,Wisconsin,US,o3,0.04,2019-04-01 19:00:00+00:00,ppm,AirNow,45.2378,-86.9936,1.0,
Lake Ilo,North Dakota,US,no2,0.002,2019-04-01 19:00:00+00:00,ppm,AirNow,47.34259,-102.645996,1.0,
Lake Ilo,North Dakota,US,so2,0.0,2019-04-01 19:00:00+00:00,ppm,AirNow,47.34259,-102.645996,1.0,
Lake Ilo,North Dakota,US,pm10,7.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,47.34259,-102.645996,1.0,
Lake Ilo,North Dakota,US,o3,0.044,2019-04-01 19:00:00+00:00,ppm,AirNow,47.34259,-102.645996,1.0,
Lake Ilo,North Dakota,US,pm25,5.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,47.34259,-102.645996,1.0,
Dunn Center,North Dakota,US,pm25,0.6,2018-06-19 20:00:00+00:00,µg/m³,AirNow,47.3203,-102.5264,1.0,
Dunn Center,North Dakota,US,no2,0.004,2018-06-19 14:00:00+00:00,ppm,AirNow,47.3203,-102.5264,1.0,
Dunn Center,North Dakota,US,o3,0.033,2018-06-19 17:00:00+00:00,ppm,AirNow,47.3203,-102.5264,1.0,
Dunn Center,North Dakota,US,pm10,32.0,2018-06-19 17:00:00+00:00,µg/m³,AirNow,47.3203,-102.5264,1.0,
Dunn Center,North Dakota,US,so2,0.001,2018-06-19 14:00:00+00:00,ppm,AirNow,47.3203,-102.5264,1.0,
Elko,Nevada,US,pm10,14.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,40.83833,-115.76601,1.0,
Tonawanda II,New York,US,pm25,6.6,2019-01-25 00:00:00+00:00,µg/m³,AirNow,42.9981,-78.8993,1.0,
Buffalo Near-road,New York,US,pm25,18.3,2019-02-04 16:00:00+00:00,µg/m³,AirNow,42.92111,-78.76611,1.0,
ERIE,Pennsylvania,US,pm25,0.9,2018-11-02 13:00:00+00:00,µg/m³,AirNow,42.1428,-80.0372,1.0,
ERIE,Pennsylvania,US,o3,0.028,2018-10-13 20:00:00+00:00,ppm,AirNow,42.1428,-80.0372,1.0,
Hayden,Arizona,US,so2,0.001,2019-04-01 19:00:00+00:00,ppm,AirNow,33.006268,-110.78648,1.0,
Hayden,Arizona,US,pm10,11.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,33.006268,-110.78648,1.0,
Miami Town Site,Arizona,US,so2,0.0,2019-04-01 19:00:00+00:00,ppm,AirNow,33.397434,-110.87445,1.0,
Miami Jones Ranch,Arizona,US,so2,0.0,2019-04-01 19:00:00+00:00,ppm,AirNow,33.3855,-110.86726,1.0,
Tonto National Monum,Arizona,US,o3,0.051,2019-04-01 19:00:00+00:00,ppm,AirNow,33.654724,-111.10741,1.0,
Hilo,Hawaii,US,pm25,10.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,19.717562,-155.11053,1.0,
Hilo,Hawaii,US,so2,0.001,2019-04-01 19:00:00+00:00,ppm,AirNow,19.717562,-155.11053,1.0,
Kona,Hawaii,US,pm25,7.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,19.5097,-155.9133,1.0,
Kona,Hawaii,US,so2,0.001,2019-04-01 19:00:00+00:00,ppm,AirNow,19.5097,-155.9133,1.0,
Pahala,Hawaii,US,so2,0.001,2019-04-01 19:00:00+00:00,ppm,AirNow,19.2065,-155.4689,1.0,
Pahala,Hawaii,US,pm25,5.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,19.2065,-155.4689,1.0,
Ocean View,Hawaii,US,pm25,6.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,19.117561,-155.77814,1.0,
Ocean View,Hawaii,US,so2,0.0,2019-04-01 19:00:00+00:00,ppm,AirNow,19.117561,-155.77814,1.0,
Mountain View,Hawaii,US,pm25,0.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,19.5698,-155.0806,1.0,
Mountain View,Hawaii,US,so2,0.0,2018-06-21 23:00:00+00:00,ppm,AirNow,19.5698,-155.0806,1.0,
Puna E Station,Hawaii,US,so2,0.002,2017-01-26 17:00:00+00:00,ppm,AirNow,19.4583,-154.8833,1.0,
Hawaii Volcanoes NP,Hawaii,US,so2,0.0,2019-04-01 19:00:00+00:00,ppm,AirNow,19.4308,-155.2578,1.0,
Keeler,California,US,pm10,2.0,2017-01-19 21:00:00+00:00,µg/m³,AirNow,36.4878,-117.871,1.0,
Keeler,California,US,pm25,-0.3,2017-01-19 21:00:00+00:00,µg/m³,AirNow,36.4878,-117.871,1.0,
Lone Pine,California,US,pm10,4.0,2017-01-19 21:00:00+00:00,µg/m³,AirNow,36.609,-118.0578,1.0,
Mill Site,California,US,pm10,3.0,2017-01-19 21:00:00+00:00,µg/m³,AirNow,36.4581,-117.8519,1.0,
Shell Cut,California,US,pm10,3.0,2017-01-19 21:00:00+00:00,µg/m³,AirNow,36.3663,-117.8976,1.0,
North Beach,California,US,pm10,1.0,2017-01-19 21:00:00+00:00,µg/m³,AirNow,36.5428,-117.9912,1.0,
Bill Stanley,California,US,pm10,2.0,2017-01-19 21:00:00+00:00,µg/m³,AirNow,36.3619,-118.0108,1.0,
Coso Junction,California,US,pm10,2.0,2017-01-19 21:00:00+00:00,µg/m³,AirNow,36.0494,-117.9439,1.0,
NCore - White Mounta,California,US,so2,0.0,2019-04-01 19:00:00+00:00,ppm,AirNow,37.360703,-118.33083,1.0,
NCore - White Mounta,California,US,pm25,2.9,2017-01-19 18:00:00+00:00,µg/m³,AirNow,37.360703,-118.33083,1.0,
NCore - White Mounta,California,US,pm10,5.0,2017-01-19 18:00:00+00:00,µg/m³,AirNow,37.360703,-118.33083,1.0,
NCore - White Mounta,California,US,co,0.13,2019-04-01 19:00:00+00:00,ppm,AirNow,37.360703,-118.33083,1.0,
NCore - White Mounta,California,US,o3,0.048,2019-04-01 19:00:00+00:00,ppm,AirNow,37.360703,-118.33083,1.0,
Enoch,Utah,US,pm25,1.2,2019-04-01 19:00:00+00:00,µg/m³,AirNow,37.747444,-113.05553,1.0,
Enoch,Utah,US,no2,0.001,2019-04-01 19:00:00+00:00,ppm,AirNow,37.747444,-113.05553,1.0,
Enoch,Utah,US,o3,0.052,2019-04-01 19:00:00+00:00,ppm,AirNow,37.747444,-113.05553,1.0,
Buick NE,Missouri,US,so2,0.001,2019-04-01 20:00:00+00:00,ppm,AirNow,37.65214,-91.11653,1.0,
Millington,Maryland,US,pm25,1.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,39.3052,-75.7972,1.0,
Millington,Maryland,US,o3,0.05,2019-04-01 19:00:00+00:00,ppm,AirNow,39.3052,-75.7972,1.0,
Lebec,California,US,pm25,3.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,34.8416,-118.8647,1.0,
Kernville,California,US,pm25,6.3,2019-01-24 03:00:00+00:00,µg/m³,AirNow,35.755,-118.4175,1.0,
Kernville,California,US,o3,0.0,2019-02-28 15:00:00+00:00,ppm,AirNow,35.755,-118.4175,1.0,
Arvin - Di Giorgio S,California,US,o3,0.049,2019-04-01 19:00:00+00:00,ppm,AirNow,35.239193,-118.7885,1.0,
Bellevue-SE 12th,Washington,US,pm25,3.6,2019-04-01 19:00:00+00:00,µg/m³,AirNow,47.600864,-122.1484,1.0,
Tukwilla_Allentown,Washington,US,pm25,9.1,2018-07-25 13:00:00+00:00,µg/m³,AirNow,47.498535,-122.27838,1.0,
Centerburg,Ohio,US,o3,0.005,2018-07-25 09:00:00+00:00,ppm,AirNow,40.27886,-82.67956,1.0,
Port Clyde,Maine,US,o3,0.049,2019-04-01 19:00:00+00:00,ppm,AirNow,43.917953,-69.2608,1.0,
Santee Sioux,Nebraska,US,o3,0.04,2019-04-01 19:00:00+00:00,ppm,AirNow,42.8292,-97.8541,1.0,
Ely,Minnesota,US,pm25,3.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,47.9464,-91.4953,1.0,
Ely,Minnesota,US,o3,0.047,2019-04-01 19:00:00+00:00,ppm,AirNow,47.9464,-91.4953,1.0,
Ronan-MT,Montana,US,pm10,15.0,2016-09-08 20:00:00+00:00,µg/m³,AirNow,47.8831,-114.1681,1.0,
Polson-MT,Montana,US,pm10,21.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,47.6925,-114.0122,1.0,
Lakeview - Center &,Oregon,US,pm25,2.1,2019-04-01 20:00:00+00:00,µg/m³,AirNow,42.189217,-120.353966,1.0,
Lyons,Oregon,US,pm25,4.7,2018-10-02 17:00:00+00:00,µg/m³,AirNow,44.778744,-122.61705,1.0,
Mill City,Oregon,US,pm25,7.0,2018-10-02 16:00:00+00:00,µg/m³,AirNow,44.75209,-122.479675,1.0,
Fernley,Nevada,US,o3,0.043,2019-04-01 19:00:00+00:00,ppm,AirNow,39.602737,-119.247856,1.0,
YPT Campbell Ranch,Nevada,US,pm10,64.0,2016-04-21 14:00:00+00:00,µg/m³,AirNow,39.063034,-119.2044,1.0,
Lima,Ohio,US,so2,0.0,2019-04-01 02:00:00+00:00,ppm,AirNow,40.771,-84.0539,1.0,
Lima,Ohio,US,pm25,4.5,2019-04-01 02:00:00+00:00,µg/m³,AirNow,40.771,-84.0539,1.0,
Lima,Ohio,US,o3,0.041,2019-04-01 02:00:00+00:00,ppm,AirNow,40.771,-84.0539,1.0,
KAHULUI,Hawaii,US,pm25,6.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,20.869444,-156.49242,1.0,
Paia,Hawaii,US,pm25,3.0,2017-04-10 22:00:00+00:00,µg/m³,AirNow,20.90203,-156.37035,1.0,
Lee Vining,California,US,pm25,1.7,2019-04-01 19:00:00+00:00,µg/m³,AirNow,37.96207,-119.12028,1.0,
Lee Vining,California,US,pm10,8.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,37.96207,-119.12028,1.0,
Mono Shore,California,US,pm10,2.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,38.0697,-118.9477,1.0,
Mammoth Lakes,California,US,pm10,22.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,37.645718,-118.966515,1.0,
Mammoth Lakes,California,US,pm25,3.6,2019-04-01 19:00:00+00:00,µg/m³,AirNow,37.645718,-118.966515,1.0,
Napa - Jefferson St,California,US,no2,0.003,2018-05-14 18:00:00+00:00,ppm,AirNow,38.3108,-122.295,1.0,
Napa - Jefferson St,California,US,o3,0.024,2018-05-14 18:00:00+00:00,ppm,AirNow,38.3108,-122.295,1.0,
Napa - Jefferson St,California,US,co,0.29,2018-05-14 18:00:00+00:00,ppm,AirNow,38.3108,-122.295,1.0,
Napa - Jefferson St,California,US,pm25,7.0,2018-05-14 18:00:00+00:00,µg/m³,AirNow,38.3108,-122.295,1.0,
Napa - Napa Valley C,California,US,co,0.31,2019-04-01 19:00:00+00:00,ppm,AirNow,38.27885,-122.275024,1.0,
Napa - Napa Valley C,California,US,no2,0.004,2019-04-01 19:00:00+00:00,ppm,AirNow,38.27885,-122.275024,1.0,
Napa - Napa Valley C,California,US,o3,0.029,2019-04-01 19:00:00+00:00,ppm,AirNow,38.27885,-122.275024,1.0,
Napa - Napa Valley C,California,US,pm25,5.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,38.27885,-122.275024,1.0,
Fairplay,Colorado,US,o3,0.04,2018-02-27 16:00:00+00:00,ppm,AirNow,39.2403,-105.9831,1.0,
Fairplay,Colorado,US,no2,0.002,2018-02-27 16:00:00+00:00,ppm,AirNow,39.2403,-105.9831,1.0,
Fairplay,Colorado,US,pm10,5.0,2018-02-27 16:00:00+00:00,µg/m³,AirNow,39.2403,-105.9831,1.0,
Fairplay,Colorado,US,pm25,9.8,2018-02-27 16:00:00+00:00,µg/m³,AirNow,39.2403,-105.9831,1.0,
Cody Mobile,Wyoming,US,o3,0.045,2019-04-01 20:00:00+00:00,ppm,AirNow,44.52612,-109.01673,1.0,
Cody Mobile,Wyoming,US,so2,0.0,2019-04-01 20:00:00+00:00,ppm,AirNow,44.52612,-109.01673,1.0,
Cody Mobile,Wyoming,US,pm25,1.0,2019-04-01 20:00:00+00:00,µg/m³,AirNow,44.52612,-109.01673,1.0,
Cody Mobile,Wyoming,US,no2,0.001,2019-04-01 20:00:00+00:00,ppm,AirNow,44.52612,-109.01673,1.0,
Cody Mobile,Wyoming,US,pm10,18.0,2019-04-01 20:00:00+00:00,µg/m³,AirNow,44.52612,-109.01673,1.0,
PIKE2001,Kentucky,US,pm25,4.2,2019-04-01 19:00:00+00:00,µg/m³,AirNow,37.4828,-82.5353,1.0,
PIKE2001,Kentucky,US,o3,0.048,2019-04-01 19:00:00+00:00,ppm,AirNow,37.4828,-82.5353,1.0,
Pike/CASTNET,Georgia,US,o3,0.026,2016-06-14 12:00:00+00:00,ppm,AirNow,33.18117,-84.41006,1.0,
Ajo,Arizona,US,pm10,8.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,32.382034,-112.85745,1.0,
Rillito,Arizona,US,pm10,42.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,32.41434,-111.15454,1.0,
Orange Grove,Arizona,US,pm10,11.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,32.322575,-111.03771,1.0,
Orange Grove,Arizona,US,pm25,1.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,32.322575,-111.03771,1.0,
South Tucson,Arizona,US,pm10,19.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,32.20215,-110.96792,1.0,
EAGLEMT,Arkansas,US,o3,0.046,2019-04-01 19:00:00+00:00,ppm,AirNow,34.4544,-94.1433,1.0,
SHELDAHL,Iowa,US,o3,0.046,2019-04-01 19:00:00+00:00,ppm,AirNow,41.849434,-93.69762,1.0,
Alabama-Coushatta,Texas,US,o3,0.037,2019-04-01 19:00:00+00:00,ppm,AirNow,30.6681,-94.6739,1.0,
Beloit-Converse,Wisconsin,US,o3,0.045,2019-04-01 19:00:00+00:00,ppm,AirNow,42.51831,-89.06347,1.0,
Rome,Georgia,US,so2,0.001,2017-01-03 13:00:00+00:00,ppm,AirNow,34.26054,-85.32333,1.0,
Rome,Georgia,US,pm25,6.4,2019-03-15 07:00:00+00:00,µg/m³,AirNow,34.26054,-85.32333,1.0,
Rome-Kraftsman,Georgia,US,so2,0.002,2019-04-01 19:00:00+00:00,ppm,AirNow,34.243645,-85.32595,1.0,
Taos Fire Station,New Mexico,US,pm25,1.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,36.3833,-105.5833,1.0,
Joliet,Illinois,US,pm25,0.2,2019-04-01 19:00:00+00:00,µg/m³,AirNow,41.526886,-88.11647,1.0,
Waco C1037,Texas,US,o3,0.046,2019-04-01 19:00:00+00:00,ppm,AirNow,31.6531,-97.0706,1.0,
Waco C1037,Texas,US,pm25,4.6,2019-04-01 19:00:00+00:00,µg/m³,AirNow,31.6531,-97.0706,1.0,
York Landfill,South Carolina,US,so2,0.0,2019-04-01 19:00:00+00:00,ppm,AirNow,34.977,-81.207,1.0,
York Landfill,South Carolina,US,o3,0.052,2019-04-01 19:00:00+00:00,ppm,AirNow,34.977,-81.207,1.0,
Eliot,Maine,US,so2,0.001,2016-04-01 13:00:00+00:00,ppm,AirNow,43.111362,-70.76973,1.0,
Yuma Supersite,Arizona,US,pm10,28.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,32.690277,-114.61444,1.0,
Yuma Supersite,Arizona,US,o3,0.057,2019-04-01 19:00:00+00:00,ppm,AirNow,32.690277,-114.61444,1.0,
Yuma Supersite,Arizona,US,pm25,4.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,32.690277,-114.61444,1.0,
STILWELL CASTNET & N,Oklahoma,US,so2,0.001,2019-04-01 19:00:00+00:00,ppm,AirNow,35.7506,-94.6697,1.0,
STILWELL CASTNET & N,Oklahoma,US,o3,0.045,2019-04-01 19:00:00+00:00,ppm,AirNow,35.7506,-94.6697,1.0,
STILWELL CASTNET & N,Oklahoma,US,co,0.04,2019-04-01 18:00:00+00:00,ppm,AirNow,35.7506,-94.6697,1.0,
STILWELL CASTNET & N,Oklahoma,US,pm25,-0.1,2019-04-01 19:00:00+00:00,µg/m³,AirNow,35.7506,-94.6697,1.0,
STILWELL CASTNET & N,Oklahoma,US,pm10,9.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,35.7506,-94.6697,1.0,
West Union,Ohio,US,pm25,2.3,2019-04-01 19:00:00+00:00,µg/m³,AirNow,38.79471,-83.53399,1.0,
West Union,Ohio,US,so2,0.0,2019-04-01 19:00:00+00:00,ppm,AirNow,38.79471,-83.53399,1.0,
West Union,Ohio,US,o3,0.045,2019-04-01 19:00:00+00:00,ppm,AirNow,38.79471,-83.53399,1.0,
Ritzville-Alder St,Washington,US,pm25,2.4,2019-04-01 19:00:00+00:00,µg/m³,AirNow,47.128,-118.3819,1.0,
LINVF2,North Carolina,US,o3,0.005,2016-04-26 10:00:00+00:00,ppm,AirNow,35.9722,-81.9331,1.0,
Cranberry,North Carolina,US,o3,0.051,2019-04-01 19:00:00+00:00,ppm,AirNow,36.1058,-82.0454,1.0,
Lake Rockwell,Ohio,US,o3,0.043,2019-04-01 19:00:00+00:00,ppm,AirNow,41.182465,-81.33048,1.0,
Patterson Park,Ohio,US,o3,0.043,2019-04-01 19:00:00+00:00,ppm,AirNow,41.106487,-81.50355,1.0,
Patterson Park,Ohio,US,co,0.0,2018-11-15 15:00:00+00:00,ppm,AirNow,41.106487,-81.50355,1.0,
East High School,Ohio,US,pm25,4.5,2019-04-01 19:00:00+00:00,µg/m³,AirNow,41.063526,-81.468956,1.0,
East High School,Ohio,US,o3,0.028,2018-10-13 20:00:00+00:00,ppm,AirNow,41.063526,-81.468956,1.0,
East High School,Ohio,US,so2,0.0,2019-04-01 19:00:00+00:00,ppm,AirNow,41.063526,-81.468956,1.0,
Akron - NIHF_STEM,Ohio,US,so2,0.0,2017-04-25 17:00:00+00:00,ppm,AirNow,41.07914,-81.51627,1.0,
Akron - NIHF_STEM,Ohio,US,co,0.0,2017-04-25 17:00:00+00:00,ppm,AirNow,41.07914,-81.51627,1.0,
Baker City - Forest,Oregon,US,pm25,4.6,2019-04-01 20:00:00+00:00,µg/m³,AirNow,44.78822,-117.8446,1.0,
Kutztown,Pennsylvania,US,o3,0.044,2019-04-01 20:00:00+00:00,ppm,AirNow,40.51408,-75.7897,1.0,
Idaho City,Idaho,US,pm25,-1.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,43.823017,-115.838554,1.0,
Garden Valley,Idaho,US,pm25,-1.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,44.1045,-115.97239,1.0,
Helmsburg,Indiana,US,o3,0.046,2019-04-01 19:00:00+00:00,ppm,AirNow,39.263912,-86.29226,1.0,
Durant,Oklahoma,US,o3,0.022,2018-12-06 17:00:00+00:00,ppm,AirNow,33.945168,-96.40564,1.0,
Chico -  East,California,US,co,0.2,2019-04-01 19:00:00+00:00,ppm,AirNow,39.76161,-121.84048,1.0,
Chico -  East,California,US,pm25,3.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,39.76161,-121.84048,1.0,
Chico -  East,California,US,pm10,9.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,39.76161,-121.84048,1.0,
Chico -  East,California,US,o3,0.044,2019-04-01 19:00:00+00:00,ppm,AirNow,39.76161,-121.84048,1.0,
Chico -  East,California,US,no2,0.024,2019-04-01 19:00:00+00:00,ppm,AirNow,39.76161,-121.84048,1.0,
Paradise Theater,California,US,pm25,1.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,39.753887,-121.62444,1.0,
Craters of the Moon,Idaho,US,o3,0.047,2019-04-01 19:00:00+00:00,ppm,AirNow,43.4606,-113.5622,1.0,
Smithfield,Utah,US,pm10,9.0,2019-04-01 18:00:00+00:00,µg/m³,AirNow,41.842777,-111.85194,1.0,
Smithfield,Utah,US,no2,0.001,2019-04-01 19:00:00+00:00,ppm,AirNow,41.842777,-111.85194,1.0,
Smithfield,Utah,US,o3,0.046,2019-04-01 19:00:00+00:00,ppm,AirNow,41.842777,-111.85194,1.0,
Smithfield,Utah,US,pm25,6.8,2019-04-01 18:00:00+00:00,µg/m³,AirNow,41.842777,-111.85194,1.0,
DN1,Oklahoma,US,o3,0.026,2017-06-19 13:00:00+00:00,ppm,AirNow,35.111,-98.255,1.0,
